Square Item ID,Name,Category,Active,Product Code
AFNUXDFJ6BDSSYSQSR5JBNJL,Nitro Cold Brew,,true,NITRO_COLD_BREW
SNPIMQHBIDY62LJ4MJ43M2I5,Nitro Cold Brew w/ Vanilla Sweet Cream Cold Foam,,true,NITRO_COLD_BREW_W_VANILLA_SWEET_CREAM_COLD_FOAM
667UFV4HAAIBAWBAIQ5OBC7P,Pumpkin Cream Cold Brew,,true,PUMPKIN_CREAM_COLD_BREW
ZKSUJH6JZNUWAMWGIQH2ZZFO,Pumpkin Spice Chai,,true,PUMPKIN_SPICE_CHAI
FMQTLSRSFKGSHIGJZNJVZMRF,Pumpkin Spice latte,,true,PUMPKIN_SPICE_LATTE
EF5KHCUPSN7TMW6L65NV2WFK,Strawberry Acai,,true,STRAWBERRY_ACAI
U4Q2I4IEXRHL2FVUXPA6OFPC,White Chocolate Mocha,,true,WHITE_CHOCOLATE_MOCHA
KTKEL2E4LC3LSR3F2YTLFUHS,White Hot Chocolate,,true,WHITE_HOT_CHOCOLATEE3LKTXQ24RTQMDLJ44NM3JDL,Cold Brew Coffee,,true,COLD_BREW_COFFEE
GMAZLMT4ZCVQI2LEX5LBSPUZ,Cold Brew w/ Vanilla Sweet Cream,,true,COLD_BREW_W_VANILLA_SWEET_CREAM
EINYYRDT7BTV2DJA622YSXGV,Affogato,,true,AFFOGATO
JU5LEXZUCDNIVAMH7YXCMM2E,Americano,,true,AMERICANO
3IUYW7VQXUOWQ6LZQW5TDXFO,Caramel Frappuccino,,true,CARAMEL_FRAPPUCCINO
DF4BCGHKHX6ESXFXJK6UZVVC,Chai Creme Frappuccino,,true,CHAI_CREME_FRAPPUCCINO
XZJSCVEJK7SDBJGMJQFML6OR,Double Chocolaty Chip Frappuccino,,true,DOUBLE_CHOCOLATY_CHIP_FRAPPUCCINO
YOBRLCYNMCWJUA4PT5SJBDBO,Espresso Frappuccino,,true,ESPRESSO_FRAPPUCCINO
SWPIDUDHWRPWDBK2BV4XEJRV,Java Chip Frappuccino,,true,JAVA_CHIP_FRAPPUCCINO
4DEK25QGWIVBWEGLPBTLVQMI,Matcha Creme Frappuccino,,true,MATCHA_CREME_FRAPPUCCINO
24WHV25QDYQNZ22FYULHCH4C,Mocha Frappuccino,,true,MOCHA_FRAPPUCCINO
GFDNPJSOGTZ64CJK4WAQT2GN,Pumpkin Spice Frappuccino,,true,PUMPKIN_SPICE_FRAPPUCCINO
KQ64REFDO4RWOGYPV2MW4UA6,Seasonal Frappuccino,,true,SEASONAL_FRAPPUCCINO
KRABMKKBILR74ZXYPZXKSGOB,Strawberry Frappuccino,,true,STRAWBERRY_FRAPPUCCINO
IOZ35V34Y4VEIQZYKZGQRUPL,Vanilla Bean Frappuccino,,true,VANILLA_BEAN_FRAPPUCCINO
PB3X5M6454CUGISRPFYZ6PYH,White Chocolate Mocha Frappuccino,,true,WHITE_CHOCOLATE_MOCHA_FRAPPUCCINO
6YVZL7KZIBUCKPJEP4DSYNJH,Cafe Latte,,true,CAFE_LATTE
NRXHN7LWPK6YV46SJINEELDD,Cafe Mocha,,true,CAFE_MOCHA
YDV34L5ESAPSPURXKWOEID52,Caramel Brûlée Latte,,true,CARAMEL_BR_L_E_LATTE
6HM3BKWVALSOYTOXDHOGV4NA,Caramel Macchiato,,true,CARAMEL_MACCHIATO
EIRAFPNSC5DCM66BC7APUWT2,Caramel Ribbon Crunch,,true,CARAMEL_RIBBON_CRUNCH
6E73SJGGCDFMDIPL3CDK7SIZ,Cappuccino,,true,CAPPUCCINO
JPOIZDZSWFHU37LNX2D2EXYJ,Vanilla Latte,,true,VANILLA_LATTE
HUJLW3C2CNERFTKWMJT5CPRV,Chai Latte,,true,CHAI_LATTE
KLRTC7I7TIUHZKNGGLR65ESF,Matcha Green Tea Latte,,true,MATCHA_GREEN_TEA_LATTE
Y2S2ZA53SZ64KLSIYO2TTCWE,Pecan Crunch Oat Milk Latte,,true,PECAN_CRUNCH_OAT_MILK_LATTE
TQP2FCGNVBNEUGJFR7WPORWH,Sugar Cookie Latte,,true,SUGAR_COOKIE_LATTE
YFKBT5OZGLQZFOUQ3OXBLC5O,Cortado,,true,CORTADO
X62LFUJJPTYAKHUH6HN7V3T2,Dirty Chai,,true,DIRTY_CHAI
ZQLN3IY5SATTSC3NDAG5SAMO,Gingerbread Chai,,true,GINGERBREAD_CHAI
XN7KI3HSBXRJ6CY6BQCXEREI,Ice Gingerbread Chai,,true,ICE_GINGERBREAD_CHAI
74IWLLJEUJMZ573WLFO7GENK,Iced Apple Crisp NonDairy Cream Chai,,true,ICED_APPLE_CRISP_NONDAIRY_CREAM_CHAI
NPGDPQBNKLLF2T7LSIC4526A,Iced Pumpkin Cream Chai,,true,ICED_PUMPKIN_CREAM_CHAI
JLUWSVV4LHWKTY4JNL5A5JOH,Lavender Haze Lotus,,true,LAVENDER_HAZE_LOTUS
GOVH6NU7L3ZYKFAAKOREOB26,Berry Peachy Lotus,,true,BERRY_PEACHY_LOTUS
Q4QOV2NZVRVIDF3PC2SSEC4M,Lotus Can 12oz,,true,LOTUS_CAN_12OZ
35DZJGZI4PEJR5SKCTIDSX6A,Mango Colada Lotus,,true,MANGO_COLADA_LOTUS
EPFEOHXG2CNJED6MDANRMHRG,Ocean Mist Lotus,,true,OCEAN_MIST_LOTUS
SK6N4NQPSLZDDTMB4QHMEKVM,Orange Creamsicle Lotus,,true,ORANGE_CREAMSICLE_LOTUS
QQCWR2JNIFR3NOBANAMZKE4L,Pinky Promise Lotus,,true,PINKY_PROMISE_LOTUS
NVEFI5SBJW6UQXKCTBPB52EU,Prickly Peach Punch Lotus,,true,PRICKLY_PEACH_PUNCH_LOTUS
CLGIY2HZG37HG3ZEQ2J6WHW2,Caramel Apple Lotus,,true,CARAMEL_APPLE_LOTUS
26CNLMEARP6PMQUXXVWA7ZHV,Dubai Drink,,true,DUBAI_DRINK
MSFIEJYDH6BNL26ROT3MHI7P,Espresso Shot,,true,ESPRESSO_SHOT
H2BMBA7QH5Y6R2UN6OSDPX5O,Apple Crisp Oatmilk Iced Shaken Espresso,,true,APPLE_CRISP_OATMILK_ICED_SHAKEN_ESPRESSO
AIVR6DUQRBERBDEHR6X4MBM6,Iced Black Tea,,true,ICED_BLACK_TEA
2UCPPRMYHYZAYCKBFW7VJHF5,Iced Brown Sugar Oat Shaken Espresso,,true,ICED_BROWN_SUGAR_OAT_SHAKEN_ESPRESSO
BXSQREPDJNJBBFWG2Y34ZALB,Iced Coffee,,true,ICED_COFFEE
KIKEZASW56I4AH6UNQFEPGL6,Iced Green Tea,,true,ICED_GREEN_TEA
FK7VSQ3WWFAGKSU4VIAN2QCY,Iced Tea Lemonade,,true,ICED_TEA_LEMONADE
IXEB2QBQAZHNTU2MYRPJH5WO,Dragon Drink,,true,DRAGON_DRINK
CII7N6BSU4YIJBUMIC3OGYND,Hot Tea,,true,HOT_TEA
TMAUDKG2RNADL4N5B2VC6EZZ,Mango & Strawberry Smoothie,,true,MANGO_AND_STRAWBERRY_SMOOTHIE
XO4V4J3Z7BZQXSPZIPYTWHSM,Mango Dragonfruit,,true,MANGO_DRAGONFRUIT
6V4JFQHXGA6EG6UMIGBAXRZY,Mango Smoothie,,true,MANGO_SMOOTHIE
JBHZEICZX6DHVWYGPRHKDDYL,Mocha Cookie Crumble,,true,MOCHA_COOKIE_CRUMBLE
GYC5OYV3MYJIMYROEFT552YQ,Pineapple Passionfruit,,true,PINEAPPLE_PASSIONFRUIT
ISQ2RBOVHBGJ33FK7MYP6MTZ,Pink Drink,,true,PINK_DRINK
HXQCQD6YFNWI4YGKEBAPNK4R,Peppermint Mocha,,true,PEPPERMINT_MOCHA
DN3V4OWEB5SMKXTENJSD257X,Peach Green Tea Lemonade,,true,PEACH_GREEN_TEA_LEMONADE
IA6BFRNW52DCCZWBHA6UQP43,Seasonal Refresher,,true,SEASONAL_REFRESHER
XMDGVPI3OK7L73L2IM2AVC3B,Strawberry Smoothie,,true,STRAWBERRY_SMOOTHIE
C3SAHLUTSOIA5G75LAZSLI3O,Steamed Milk,,true,STEAMED_MILK
AQDCCCPXKEOH7ABZBFLWZUA3,Medicine Ball,,true,MEDICINE_BALL
EHGYHGHVPA2NFHFQWVM4G5PI,Hot Chocolate,,true,HOT_CHOCOLATE
OQ62YCQXQGVQUATLAJEGUZXM,Flat White,,true,FLAT_WHITE

6Y4WWTKXY7GKOLT27MPWVA4W,AJ - Apple Juice Humankind,,true,AJ_APPLE_JUICE_HUMANKIND
VQ4BUBY4ZMY642PBOZ6TEJFF,Alfajores,,true,ALFAJORES
2E4GJ4TJTEBMBLCPEFEQ5GFL,Almond Croissant,,true,ALMOND_CROISSANT
3TJVMFOEQYA6I44ULK2CYBGD,Apple juice,,true,APPLE_JUICE
EQUHDXIFACNXU3DAKG7AIMZI,Apple Turnover,,true,APPLE_TURNOVER
PB4BADCE7LKQLXDRR47UQJP3,Apricot Almond Scone,,true,APRICOT_ALMOND_SCONE
AJNBH44UI7EGL3N6RPYGYRTY,Avacado Toast,,true,AVACADO_TOAST
7WSPNUKF32ABVQFXPPTT26PZ,Bear Claw,,true,BEAR_CLAW
THJWBOJQ7FFUNWZMNNP7IWW4,Beef Stick,,true,BEEF_STICK
ZKYQQBCOC2IP72MQ3HXAUHVH,Blueberry Muffin,,true,BLUEBERRY_MUFFIN
KUOVENXQGTX64YNSLLNKKK5M,Blueberry Scone,,true,BLUEBERRY_SCONE
UJJTX2DNPJGN7Y75BO66N42E,Boba Bubble Tea,,true,BOBA_BUBBLE_TEA
HHAG7Y33SJ7S7MYU6AYC3QLD,Boulder Canyon Chips - 1 oz Assorted,,true,BOULDER_CANYON_CHIPS_1_OZ_ASSORTED
PAOUM63P47GDHDHTUCFEDJ2I,Bread,,true,BREAD
ONELRAKCA47BEAA6D5GXPBK4,Bread,,true,BREAD_XPBK4
EOX6SDWV3TBJTWCV6WC47U5N,Bread Banana Pecan,,true,BREAD_BANANA_PECAN
WRARP7CONYULY7JQV2HOC26Q,Bread Blueberry,,true,BREAD_BLUEBERRY
DAFCMKVJG5ZJ72DDKDXZZLRV,Bread Marble,,true,BREAD_MARBLE
WOKPDBYPFSOCYBXF6JY5YI26,Brownie,,true,BROWNIE
