square_item_id,square_variation_id,name,variation_name,display_name,description,price,price_cents,display_price,square_category,kds_category,sort_order,is_visible
2G5DYSEMIU5EDHG3LZ2JLJPP,A66IQ4TVF3YX5HGJUJGHSSHS,Almonds & Cheese Snack Pack,Regular,Almonds & Cheese Snack Pack,"A delightful assortment of roasted almonds paired with bite-sized cubes of aged cheddar cheese, perfect for a quick and nutritious snack.",5.95,595,$5.95,Breakfast & Lunch,breakfast,0,true
FWLVI3V2B2OOKC377KTQEX74,Z75J3ILF6R62NW7XLPYKKNPZ,Caesar Salad with Chicken,Regular,Caesar Salad with Chicken,"Crisp Romaine lettuce, topped with tender grilled chicken and shavings of rich parmesan cheese, all drizzled with a classic Caesar dressing.",5.95,595,$5.95,Breakfast & Lunch,breakfast,0,true
NRKIFBV7MC2OHFLU6EGC3VC2,PALMCOZOZ7JMHRDVGLIAMISM,Cobb Salad with Turkey & Bacon,Regular,Cobb Salad with Turkey & Bacon,"Crisp mixed greens topped with juicy turkey slices, crispy bacon, and creamy avocado, served with a medley of fresh vegetables and a choice of dressing.",5.95,595,$5.95,Breakfast & Lunch,breakfast,0,true
RUQWYCZ5YNATYDCYZM23O6MA,K7G6Y3X3SXZGRWGBG5DOVVQL,Diz Burrito,Regular,Diz Burrito,"Savor the robust flavors of grilled steak, creamy avocado, and a smoky chipotle sauce, all wrapped in a warm flour tortilla.",8.95,895,$8.95,Breakfast & Lunch,breakfast,0,true
RUQWYCZ5YNATYDCYZM23O6MA,2PWN25ZH75WRDFQ4GRFSHHT6,Diz Burrito,Chicken Chorizo,Diz Burrito (Chicken Chorizo),"Savor the robust flavors of grilled steak, creamy avocado, and a smoky chipotle sauce, all wrapped in a warm flour tortilla.",8.95,895,$8.95,Breakfast & Lunch,breakfast,0,true
RUQWYCZ5YNATYDCYZM23O6MA,SYPMHWP3QVDLOGOMDOJBDI7B,Diz Burrito,Sausage,Diz Burrito (Sausage),"Savor the robust flavors of grilled steak, creamy avocado, and a smoky chipotle sauce, all wrapped in a warm flour tortilla.",8.95,895,$8.95,Breakfast & Lunch,breakfast,0,true
RUQWYCZ5YNATYDCYZM23O6MA,IJVGRE5F27DLAKDZIBDR4H6H,Diz Burrito,Bacon,Diz Burrito (Bacon),"Savor the robust flavors of grilled steak, creamy avocado, and a smoky chipotle sauce, all wrapped in a warm flour tortilla.",8.95,895,$8.95,Breakfast & Lunch,breakfast,0,true
RUQWYCZ5YNATYDCYZM23O6MA,FASV5D4DDBA3EXXYPOTBN275,Diz Burrito,Veggie Black Bean,Diz Burrito (Veggie Black Bean),"Savor the robust flavors of grilled steak, creamy avocado, and a smoky chipotle sauce, all wrapped in a warm flour tortilla.",8.95,895,$8.95,Breakfast & Lunch,breakfast,0,true
CTPAO6OA76J3TB6DGLSL6OYI,URY6EZZEVRADTR4A3HJHNASJ,Egg Bites,Regular,Egg Bites,,2.95,295,$2.95,Breakfast & Lunch,breakfast,0,true
CTPAO6OA76J3TB6DGLSL6OYI,S6CN2LE3HMGU3NBM7JNSXHLJ,Egg Bites,Single,Egg Bites (Single),,2.95,295,$2.95,Breakfast & Lunch,breakfast,0,true
CTPAO6OA76J3TB6DGLSL6OYI,EVO2KRSW2B6IFAP5P5ZOQNJE,Egg Bites,Double,Egg Bites (Double),,4.95,495,$4.95,Breakfast & Lunch,breakfast,0,true
4FXLLBWVCDDOGUSSM65DYUIS,K6H24IN6KO6VKLCAZ4LMG6VZ,Empanada - Beef,Regular,Empanada - Beef,"A golden, flaky crust envelops a savory beef filling, seasoned with a blend of traditional Latin spices for a rich and aromatic taste.",6.00,600,$6.00,Breakfast & Lunch,breakfast,0,true
2Q45OASQ73J4ETABA6JKQGLC,2GB7UK3IS5OK56RBUWFOSNE7,Empanada - Chicken,Regular,Empanada - Chicken,"A golden, flaky crust encases a savory filling bursting with traditional flavors, featuring seasoned meats, finely chopped vegetables, and a harmonious blend of spices.",6.00,600,$6.00,Breakfast & Lunch,breakfast,0,true
F2ITND4MYY56U2F54SBKH4JI,5NY3IPI7JMQ7WFAH523JU7MF,Empanada - Ham & Cheese,Regular,Empanada - Ham & Cheese,"Savor the blend of savory ham and melted cheese encased in a golden, flaky crust. Perfectly baked to achieve a crisp exterior and a warm, gooey interior.",6.00,600,$6.00,Breakfast & Lunch,breakfast,0,true
XRFE44HLEHOWI764542AHGW7,6ESKEHVBPEVRFI656HKIVBVV,Empanada - Spinach,Regular,Empanada - Spinach,"Filled with a savory blend of fresh spinach and creamy feta cheese, encased in a perfectly baked, flaky crust.",6.00,600,$6.00,Breakfast & Lunch,breakfast,0,true
2OWUCTLZ2IKZY4BDWHZNAOGD,UVGYB4BY3SOPJPQL4QB5GHAR,Everything Bagel,Regular,Everything Bagel,"The Everything Bagel delivers a versatile flavor with its unique seasoning blend of sesame, poppy seeds, garlic, and onion, perfect for breakfast, lunch, or any meal. Enjoy it toasted, plain, or as the base for your favorite sandwich creation.",3.00,300,$3.00,Breakfast & Lunch,breakfast,0,true
2MGWVFA2GB6QWNUOYGGJYIPG,5AEDYQARHZBHQII7FI3BU2FI,Honey Roasted Turkey Snack Pack,Regular,Honey Roasted Turkey Snack Pack,"Tender honey roasted turkey slices are paired with a mix of crunchy nuts and an assortment of sweet dried fruits for a balanced, protein-packed snack.",5.95,595,$5.95,Breakfast & Lunch,breakfast,0,true
UGBID76IZ25WYBZSB2LVEHSF,RZ3OBLCVMZ7ZZS2JDAHUNAK4,Loly's Burrito,Regular,Loly's Burrito,,9.45,945,$9.45,Breakfast & Lunch,breakfast,0,true
UGBID76IZ25WYBZSB2LVEHSF,4APTBXZAODHK5NX7VILITBNN,Loly's Burrito,Cheese,Loly's Burrito (Cheese),,9.45,945,$9.45,Breakfast & Lunch,breakfast,0,true
UGBID76IZ25WYBZSB2LVEHSF,EETSIOOVY2KZAUSHUA5LEB7J,Loly's Burrito,Chorizo,Loly's Burrito (Chorizo),,9.45,945,$9.45,Breakfast & Lunch,breakfast,0,true
UGBID76IZ25WYBZSB2LVEHSF,MHTLSN5XCWWX46CQKWCLENVP,Loly's Burrito,Bacon,Loly's Burrito (Bacon),,9.45,945,$9.45,Breakfast & Lunch,breakfast,0,true
IIHQL2PGQ2QKCCT73M6RDBJ7,P5O5HJ6NRE2SIDK6XZ5I5ID5,Plain Bagel,Regular,Plain Bagel,"The plain bagel offers a classic flavor and a versatile base, perfect for any breakfast or lunch creation. Easily customize it with your favorite spreads, toppings, or sandwich fillings to suit your taste!",2.95,295,$2.95,Breakfast & Lunch,breakfast,0,true
27EU3EEIBLW3TTARGAX4A3N2,YU55MOK7W2YU4GC7OPBNXUOG,Sammies Sandwich,Regular,Sammies Sandwich,"A variety of savory fillings encased in crispy bread, offering a delightful combination of flavors in each bite. Each sammie is crafted to provide a satisfying and delicious meal.",7.95,795,$7.95,Breakfast & Lunch,breakfast,0,true
27EU3EEIBLW3TTARGAX4A3N2,BQI4RATYYONOL33ELQRNOTHU,Sammies Sandwich,Bacon,Sammies Sandwich (Bacon),"A variety of savory fillings encased in crispy bread, offering a delightful combination of flavors in each bite. Each sammie is crafted to provide a satisfying and delicious meal.",7.95,795,$7.95,Breakfast & Lunch,breakfast,0,true
27EU3EEIBLW3TTARGAX4A3N2,WM62SHA66NV4UYRZIC4YD3M4,Sammies Sandwich,Cheese,Sammies Sandwich (Cheese),"A variety of savory fillings encased in crispy bread, offering a delightful combination of flavors in each bite. Each sammie is crafted to provide a satisfying and delicious meal.",7.95,795,$7.95,Breakfast & Lunch,breakfast,0,true
27EU3EEIBLW3TTARGAX4A3N2,SLTSWP5L445XVE5FZWK7ZSJG,Sammies Sandwich,Sausage,Sammies Sandwich (Sausage),"A variety of savory fillings encased in crispy bread, offering a delightful combination of flavors in each bite. Each sammie is crafted to provide a satisfying and delicious meal.",7.95,795,$7.95,Breakfast & Lunch,breakfast,0,true
27EU3EEIBLW3TTARGAX4A3N2,WKMRTTTE2724J45EDJXIIGJK,Sammies Sandwich,Turkey,Sammies Sandwich (Turkey),"A variety of savory fillings encased in crispy bread, offering a delightful combination of flavors in each bite. Each sammie is crafted to provide a satisfying and delicious meal.",7.95,795,$7.95,Breakfast & Lunch,breakfast,0,true
KF5AEW34YDQNKCT5DGYE5GMK,UMJLCJJZBLB32BVHDI4BPLBW,Savory Croissant,Regular,Savory Croissant,"A buttery, flaky croissant filled with savory ham and melted Swiss cheese, creating the perfect blend of textures and flavors.",9.95,995,$9.95,Breakfast & Lunch,breakfast,0,true
KF5AEW34YDQNKCT5DGYE5GMK,X2SA3IU2COQ7VYC75AYG4AJB,Savory Croissant,Bacon Egg & Cheese,Savory Croissant (Bacon Egg & Cheese),"A buttery, flaky croissant filled with savory ham and melted Swiss cheese, creating the perfect blend of textures and flavors.",9.95,995,$9.95,Breakfast & Lunch,breakfast,0,true
KF5AEW34YDQNKCT5DGYE5GMK,JHWRLCQND5FVZ4OYNMCISADV,Savory Croissant,Ham & Cheese,Savory Croissant (Ham & Cheese),"A buttery, flaky croissant filled with savory ham and melted Swiss cheese, creating the perfect blend of textures and flavors.",9.95,995,$9.95,Breakfast & Lunch,breakfast,0,true
KF5AEW34YDQNKCT5DGYE5GMK,A5O5WMOHFD5TLAAMSDUMSNL6,Savory Croissant,Spicy Egg & Cheese,Savory Croissant (Spicy Egg & Cheese),"A buttery, flaky croissant filled with savory ham and melted Swiss cheese, creating the perfect blend of textures and flavors.",9.95,995,$9.95,Breakfast & Lunch,breakfast,0,true
HZBS6CAJEWGF62QSIJ6CDVF6,EDLALVOGJPOUBXNRNOJXQYTQ,Caramel Frappuccino,Tall,Caramel Frappuccino (Tall),"Rich caramel blended with robust coffee, topped with a generous swirl of whipped cream for a creamy and sweet finish.",5.65,565,$5.65,COFFEE,frappuccinos-coffee,0,true
HZBS6CAJEWGF62QSIJ6CDVF6,QWT2S2P2QBH3BR27EEEOPCTA,Caramel Frappuccino,Grande,Caramel Frappuccino (Grande),"Rich caramel blended with robust coffee, topped with a generous swirl of whipped cream for a creamy and sweet finish.",6.35,635,$6.35,COFFEE,frappuccinos-coffee,0,true
HZBS6CAJEWGF62QSIJ6CDVF6,7CXXYNDZ4H64GSCASMDO6TCF,Caramel Frappuccino,Venti,Caramel Frappuccino (Venti),"Rich caramel blended with robust coffee, topped with a generous swirl of whipped cream for a creamy and sweet finish.",6.75,675,$6.75,COFFEE,frappuccinos-coffee,0,true
JVOVO64NN7OJMXVOUSHKOTP6,IUUF5SJYFY3O3GCBQIZNXZIF,Caramel Ribbon Crunch,Tall,Caramel Ribbon Crunch (Tall),"Layers of rich caramel sauce intertwined with a ribbon of creamy caramel, topped with crunchy caramel bits for an extra layer of texture and sweetness.",5.85,585,$5.85,COFFEE,frappuccinos-coffee,0,true
JVOVO64NN7OJMXVOUSHKOTP6,QLKLP3HO5HDF4GYHYGEVQMW5,Caramel Ribbon Crunch,Grande,Caramel Ribbon Crunch (Grande),"Layers of rich caramel sauce intertwined with a ribbon of creamy caramel, topped with crunchy caramel bits for an extra layer of texture and sweetness.",6.45,645,$6.45,COFFEE,frappuccinos-coffee,0,true
JVOVO64NN7OJMXVOUSHKOTP6,A46HKS4VVFJ2NWFHE4C4GR3D,Caramel Ribbon Crunch,Venti,Caramel Ribbon Crunch (Venti),"Layers of rich caramel sauce intertwined with a ribbon of creamy caramel, topped with crunchy caramel bits for an extra layer of texture and sweetness.",6.85,685,$6.85,COFFEE,frappuccinos-coffee,0,true
