square_item_id,square_variation_id,name,variation_name,display_name,description,price,price_cents,display_price,square_category,kds_category,kds_screen,sort_order,is_visible,display_type,featured,bullet_color,parent_item
# ==========================================
# SCREEN 1: LITTLE CAFÉ (drinks screen, left panel)
# ==========================================

# === MOST POPULAR (Featured Section) ===
# These items appear in the "MOST POPULAR" section with colored bullets
# No prices displayed - just item names with color-coded bullets
ITEM_LATTE_001,VAR_LATTE_001,Latte,Hot or Iced,Latte (Hot or Iced),Rich espresso with steamed milk,5.65,565,$5.65,Starbucks,most-popular,drinks,1,true,featured,true,green,
ITEM_VANILLA_001,VAR_VANILLA_001,Vanilla Latte,Grande,Vanilla Latte,Vanilla-flavored espresso with steamed milk,5.95,595,$5.95,Starbucks,most-popular,drinks,2,true,featured,true,yellow,
ITEM_CARAMEL_MAC_001,VAR_CARAMEL_MAC_001,Caramel Macchiato,Grande,Caramel Macchiato,Espresso marked with vanilla and caramel,5.95,595,$5.95,Starbucks,most-popular,drinks,3,true,featured,true,orange,
ITEM_COLD_BREW_001,VAR_COLD_BREW_001,Cold Brew,Vanilla Sweet Cream,Cold Brew - Vanilla Sweet Cream,Slow-steeped cold brew with vanilla sweet cream,5.45,545,$5.45,Starbucks,most-popular,drinks,4,true,featured,true,brown,
ITEM_PINK_DRINK_001,VAR_PINK_DRINK_001,Pink Drink,Grande,Pink Drink,Strawberry Acai Refresher with coconut milk,5.45,545,$5.45,Starbucks,most-popular,drinks,5,true,featured,true,pink,
ITEM_FRAP_POP_001,VAR_FRAP_POP_001,Caramel Frappuccino,Grande,Caramel Frappuccino,Caramel blended with coffee milk and ice,5.85,585,$5.85,Starbucks,most-popular,drinks,6,true,featured,true,caramel,

# === ICED FAVORITES (Price Grid) - Column 1 ===
ITEM_ICED_LATTE,VAR_IL_TALL,Iced Latte,Tall,Iced Latte,Chilled espresso with cold milk,4.25,425,$4.25,Starbucks,iced-favorites,drinks,1,true,price-grid,false,,
ITEM_ICED_LATTE,VAR_IL_GRANDE,Iced Latte,Grande,Iced Latte,Chilled espresso with cold milk,4.75,475,$4.75,Starbucks,iced-favorites,drinks,1,true,price-grid,false,,
ITEM_ICED_LATTE,VAR_IL_VENTI,Iced Latte,Venti,Iced Latte,Chilled espresso with cold milk,5.25,525,$5.25,Starbucks,iced-favorites,drinks,1,true,price-grid,false,,
