square_item_id,square_variation_id,name,variation_name,display_name,description,price,price_cents,display_price,square_category,kds_category,sort_order,is_visible
YCL4THILCXGPI6M6LR2YWL37,Z3N5FJ5VVUUC2D5A3NUHTOYZ,Bagel,Regular,Bagel,Plain Bagel,2.25,225,$2.25,Uncategorized,pastries,0,true
KUINOEOULKH4LVGGN6IUNJET,AUBWH23WFPB4QQAYFIG6Q43I,Blueberry Muffin,Regular,Blueberry Muffin,Fresh baked muffin with Maine blueberries,3.95,395,$3.95,Uncategorized,pastries,0,true
MIFVY5ZOCGQRUSEZDJL6RXCU,7PZMWV4WXBEETG47R4Y3BIBC,Breakfast Burrito,Bacon,Breakfast Burrito (Bacon),"Scrambled eggs, cheese, and your choice of protein wrapped in a warm tortilla",9.45,945,$9.45,Uncategorized,breakfast,0,true
MIFVY5ZOCGQRUSEZDJL6RXCU,SQJP3TC63N7HJQIBEH6XTPCI,Breakfast Burrito,Sausage,Breakfast Burrito (Sausage),"Scrambled eggs, cheese, and your choice of protein wrapped in a warm tortilla",8.95,895,$8.95,Uncategorized,breakfast,0,true
MIFVY5ZOCGQRUSEZDJL6RXCU,NSQLVHYGZ5SEOAWM652IHXIE,Breakfast Burrito,Vegetarian,Breakfast Burrito (Vegetarian),"Scrambled eggs, cheese, and your choice of protein wrapped in a warm tortilla",7.95,795,$7.95,Uncategorized,breakfast,0,true
3PTADW4GNG6LDFTF7NGGVDLQ,2XFNGFJRRZBQ6AMUOOPSCDRX,Breakfast Sandwich,Regular,Breakfast Sandwich,Artisan sandwich with egg and cheese on toasted English muffin,6.95,695,$6.95,Uncategorized,breakfast,0,true
3PTADW4GNG6LDFTF7NGGVDLQ,YRFLBMRSMJU67B47H4WAAVFY,Breakfast Sandwich,Deluxe,Breakfast Sandwich (Deluxe),Artisan sandwich with egg and cheese on toasted English muffin,7.95,795,$7.95,Uncategorized,breakfast,0,true
XT6W4DBLAEOCURYEFI2DZPAN,Q3RUQT4UA2EXXJW4MVBIL33V,Butter Croissant,Regular,Butter Croissant,"Flaky, buttery croissant made with European-style butter",3.45,345,$3.45,Uncategorized,pastries,0,true
UCT6VD4RATXRQS3WRAQ7FHQT,K64UG7AS62ZEELAXK4KNI4DT,Caffè Americano,Tall,Caffè Americano (Tall),"Rich, full-bodied espresso with hot water.",2.95,295,$2.95,Uncategorized,espressos,0,true
UCT6VD4RATXRQS3WRAQ7FHQT,POUICXVRMRIOZ64ONZPFQDKS,Caffè Americano,Grande,Caffè Americano (Grande),"Rich, full-bodied espresso with hot water.",3.45,345,$3.45,Uncategorized,espressos,0,true
UCT6VD4RATXRQS3WRAQ7FHQT,67AJ5JM2TINZZDLEP6HP3Y6Y,Caffè Americano,Venti,Caffè Americano (Venti),"Rich, full-bodied espresso with hot water.",3.95,395,$3.95,Uncategorized,espressos,0,true
R3QHCZDAVPYIR4KNUW4HIYOC,GZY2Z2ROOYHF6UN54JUII6HV,Caffè Latte,Tall,Caffè Latte (Tall),"Rich, full-bodied espresso in steamed milk, lightly topped with foam.",4.95,495,$4.95,Uncategorized,espressos,0,true
R3QHCZDAVPYIR4KNUW4HIYOC,MDT4FMJ5XH64IXOFPLDDZVUP,Caffè Latte,Grande,Caffè Latte (Grande),"Rich, full-bodied espresso in steamed milk, lightly topped with foam.",5.65,565,$5.65,Uncategorized,espressos,0,true
R3QHCZDAVPYIR4KNUW4HIYOC,3V2MEQRVCCWGDCL7WU743BLK,Caffè Latte,Venti,Caffè Latte (Venti),"Rich, full-bodied espresso in steamed milk, lightly topped with foam.",6.25,625,$6.25,Uncategorized,espressos,0,true
KGKM2UDBHOWTQ3SWR2HAHF23,BSDFNWCCD5LZQNNHS5FM5FTT,Caramel Frappuccino®,Tall,Caramel Frappuccino® (Tall),"Buttery caramel syrup blended with coffee, milk and ice, then topped with whipped cream and caramel drizzle.",5.45,545,$5.45,Uncategorized,blended,0,true
KGKM2UDBHOWTQ3SWR2HAHF23,CWYLLKWW5CJ4BRIN6UE744IS,Caramel Frappuccino®,Grande,Caramel Frappuccino® (Grande),"Buttery caramel syrup blended with coffee, milk and ice, then topped with whipped cream and caramel drizzle.",6.25,625,$6.25,Uncategorized,blended,0,true
KGKM2UDBHOWTQ3SWR2HAHF23,33E3SLZGWGRYTKVGJ7MX65SW,Caramel Frappuccino®,Venti,Caramel Frappuccino® (Venti),"Buttery caramel syrup blended with coffee, milk and ice, then topped with whipped cream and caramel drizzle.",6.95,695,$6.95,Uncategorized,blended,0,true
DRS7SJAHFVFT2FTSUARI6FMP,FVD5JNFELGW5CGLMTTRDC4LX,Chai Tea Latte,Tall,Chai Tea Latte (Tall),"Black tea infused with cinnamon, clove and other warming spices, combined with steamed milk.",4.45,445,$4.45,Uncategorized,espressos,0,true
DRS7SJAHFVFT2FTSUARI6FMP,RLR25DMV7WCC3HUWKEFJ6ZB2,Chai Tea Latte,Grande,Chai Tea Latte (Grande),"Black tea infused with cinnamon, clove and other warming spices, combined with steamed milk.",5.15,515,$5.15,Uncategorized,espressos,0,true
NYNCLPSNCVZDGJXBC27XEEU6,JLWK4RSQCZN6PFY2UTZPCZPA,Chobani 20g Protein Smoothie,Regular,Chobani 20g Protein Smoothie,,4.95,495,$4.95,Uncategorized,blended,0,true
HSTJS72WEGI4GLKAOZ645GJJ,YOXPHAKKNPFFHIRAONXF3YK7,Chocolate Chip Cookie,Regular,Chocolate Chip Cookie,Classic chocolate chip cookie baked fresh daily,2.95,295,$2.95,Uncategorized,pastries,0,true
LMADXAKD5XVJRPKXLNPFS7AP,D4LPSOFE54F2KLO2S5LWAXEQ,Granola Bar,Regular,Granola Bar,"Wholesome granola bar with oats, honey, and dried fruit",3.45,345,$3.45,Uncategorized,snacks,0,true
GA7UHTGKKADID3MQNUPKWK7X,TETZD5VLXCOJVLUCDCGMNPLC,Lemonade,Regular,Lemonade,Simply Lemonade,2.15,215,$2.15,Uncategorized,snacks,0,true
ZIEPIYGFGVFI3UOC57GOKQD5,XWJGF4OBH2LRDHABOWODTSM5,Mango Dragonfruit Refresher,Tall,Mango Dragonfruit Refresher (Tall),A tropical blend of juicy mango and dragonfruit flavors.,4.45,445,$4.45,Uncategorized,blended,0,true
ZIEPIYGFGVFI3UOC57GOKQD5,IF5GRKWCJAWNORNP75DEQE4X,Mango Dragonfruit Refresher,Grande,Mango Dragonfruit Refresher (Grande),A tropical blend of juicy mango and dragonfruit flavors.,5.15,515,$5.15,Uncategorized,blended,0,true
3UMOIH5JVKGDJ2P44PKLYRHN,EEDT4VQBWF6ZQYNXVUEHYFFF,Matcha Tea Latte,Tall,Matcha Tea Latte (Tall),Sweetened matcha green tea blended with steamed milk.,4.95,495,$4.95,Uncategorized,espressos,0,true
3UMOIH5JVKGDJ2P44PKLYRHN,HGJLGDKOYWAGHJSPRR3EHMHD,Matcha Tea Latte,Grande,Matcha Tea Latte (Grande),Sweetened matcha green tea blended with steamed milk.,5.65,565,$5.65,Uncategorized,espressos,0,true
ZEZM7EQWC42CHRYI2L6PLN54,GTCAFWO2VOPGFUCXAECK6OPX,Mixed Nuts,Regular,Mixed Nuts,"Premium mix of roasted almonds, cashews, and peanuts",4.95,495,$4.95,Uncategorized,snacks,0,true
USUVWEFRWCV2KPXH65LURMXQ,2JTJT2KHTXTJJDZRK5TQQA4V,Mocha Frappuccino®,Tall,Mocha Frappuccino® (Tall),"Rich, chocolatey goodness blended with coffee, milk and ice, topped with whipped cream and chocolate drizzle.",5.45,545,$5.45,Uncategorized,blended,0,true
